Feedback,Learn,Recognize,Interpret,Create,FutureUse
CIF,4,7,6,6,6
CIF,5,7,7,7,7
CIF,5,7,7,6,6
CIF,1,7,7,7,6
CIF,5,7,6,7,7
CIF,5,5,7,5,4
CIF,5,7,7,5,6
CIF,4,4,4,4,4
CIF,3,4,4,4,4
CIF,4,5,5,5,5
CIF,5,7,5,1,5
CIF,5,7,7,5,7
CIF,5,7,6,7,6
CIF,5,7,6,7,7
NF,3,3,3,3,3
NF,5,6,6,4,3
NF,4,4,3,2,2
NF,4,4,4,4,4
NF,4,4,5,5,5
NF,5,5,7,5,4
NF,5,7,6,6,7
NF,5,7,5,4,6
NF,5,7,5,6,3
NF,3,7,5,4,4
NF,5,6,6,5,7
NF,4,4,3,3,4
