NF,CIF
69.56,92.85714286
52.17,92.85714286
39.13,71.42857143
65.21,78.57142857
39.13,78.57142857
8.69,57.14285714
69.56,78.57142857
73.91,100
60.86,85.71428571
30.43,71.42857143
34.78,64.28571429
82.61,92.85714286
73.91,85.71428571
52.17,92.85714286
