Feedback,Module 1,Module 2,End of Modules
CIF,7,7,7
CIF,7,7,7
CIF,6,6,7
CIF,7,7,7
CIF,7,7,7
CIF,6,7,5
CIF,7,7,7
CIF,7,7,4
CIF,3,4,4
CIF,4,5,5
CIF,4,5,7
CIF,7,7,7
CIF,6,6,7
CIF,7,7,7
NF,1,1,3
NF,6,6,6
NF,2,3,4
NF,5,5,4
NF,3,4,4
NF,2,4,5
NF,6,6,7
NF,5,6,7
NF,7,6,7
NF,7,5,7
NF,6,6,6
NF,3,2,4
