MasteryLearning,TotalTime
With,6708
With,7119
With,7871
With,8122
With,8686
With,8853
With,4985
With,6472
With,7312
With,7539
With,5024
With,6909
With,6860
With,168628
Without,2893
Without,3974
Without,5741
Without,6292
Without,6841
Without,7143
Without,8717
Without,6475
Without,5071
Without,6165
Without,6402
Without,8959
